Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
wet tropics,murray,murray,grazing,2015,1514.9,82.9,5.5,7,9.2,2015 to 2009
wet tropics,murray,murray,grazing,2021,1501.3,71.6,4.8,-11.3,-13.6,2021 to 2015
wet tropics,russell,russell,grazing,1999,718.4,53.3,7.4,0,0,1999 to 1999
wet tropics,russell,russell,grazing,2009,695.6,60.1,8.6,6.9,12.9,2009 to 1999
wet tropics,russell,russell,grazing,2015,696.1,65.3,9.4,5.2,8.6,2015 to 2009
wet tropics,russell,russell,grazing,2021,670.3,66.3,9.9,1.1,1.6,2021 to 2015
wet tropics,tully,tully,grazing,1999,1718,110.1,6.4,0,0,1999 to 1999
wet tropics,tully,tully,grazing,2009,1711.8,89.2,5.2,-20.9,-19,2009 to 1999
wet tropics,tully,tully,grazing,2015,1712.8,105.8,6.2,16.6,18.6,2015 to 2009
wet tropics,tully,tully,grazing,2021,1684,112.7,6.7,6.9,6.5,2021 to 2015
burdekin,burdekin,belyando,irrigated agriculture,1999,36750.6,12.2,0,0,0,1999 to 1999
burdekin,burdekin,belyando,irrigated agriculture,2009,36972.8,16.5,0,4.3,35.4,2009 to 1999
burdekin,burdekin,belyando,irrigated agriculture,2016,36042.5,16.5,0,-0,-0,2016 to 2009
burdekin,burdekin,belyando,irrigated agriculture,2021,35412.7,16.2,0,-0.3,-1.9,2021 to 2016
burdekin,burdekin,broke bogie,irrigated agriculture,1999,11999.6,4.3,0,0,0,1999 to 1999
burdekin,burdekin,broke bogie,irrigated agriculture,2009,12195.9,4.4,0,0.1,1.4,2009 to 1999
burdekin,burdekin,broke bogie,irrigated agriculture,2016,12226.5,1.9,0,-2.5,-57.4,2016 to 2009
burdekin,burdekin,broke bogie,irrigated agriculture,2021,11722.3,0.9,0,-0.9,-50.1,2021 to 2016
burdekin,burdekin,cape campaspe,irrigated agriculture,1999,20626.4,2.4,0,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,irrigated agriculture,2009,20630.3,4.5,0,2.1,90.1,2009 to 1999
burdekin,burdekin,cape campaspe,irrigated agriculture,2016,20584.4,5.7,0,1.2,26.9,2016 to 2009
burdekin,burdekin,cape campaspe,irrigated agriculture,2021,20448.4,5.1,0,-0.6,-11.1,2021 to 2016
burdekin,burdekin,lower burdekin,irrigated agriculture,1999,3794.4,235.4,6.2,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,irrigated agriculture,2009,3801.8,238.6,6.3,3.2,1.3,2009 to 1999
burdekin,burdekin,lower burdekin,irrigated agriculture,2016,3802.7,230.8,6.1,-7.7,-3.2,2016 to 2009
burdekin,burdekin,lower burdekin,irrigated agriculture,2021,3757.2,239.8,6.4,9,3.9,2021 to 2016
burdekin,burdekin,suttor,irrigated agriculture,1999,19585.6,7.5,0,0,0,1999 to 1999
burdekin,burdekin,suttor,irrigated agriculture,2009,19650.3,18.9,0.1,11.4,152.9,2009 to 1999
burdekin,burdekin,suttor,irrigated agriculture,2016,19556.7,18.7,0.1,-0.2,-1.1,2016 to 2009
burdekin,burdekin,suttor,irrigated agriculture,2021,18206.9,34.5,0.2,15.8,84.2,2021 to 2016
burdekin,burdekin,upper burdekin,irrigated agriculture,1999,40690.7,8.3,0,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,irrigated agriculture,2009,40690.7,13.6,0,5.3,63.9,2009 to 1999
burdekin,burdekin,upper burdekin,irrigated agriculture,2016,40950.4,16.4,0,2.8,21,2016 to 2009
burdekin,burdekin,upper burdekin,irrigated agriculture,2021,40499.4,17.1,0,0.7,4.1,2021 to 2016
burdekin,haughton,haughton,irrigated agriculture,1999,4156.2,792,19.1,0,0,1999 to 1999
burdekin,haughton,haughton,irrigated agriculture,2009,4156.4,797.5,19.2,5.6,0.7,2009 to 1999
burdekin,haughton,haughton,irrigated agriculture,2016,4153.9,808.1,19.5,10.5,1.3,2016 to 2009
burdekin,haughton,haughton,irrigated agriculture,2021,4065.4,796.7,19.6,-11.3,-1.4,2021 to 2016
dry tropics,black,black river,irrigated agriculture,1999,305.3,1.5,0.5,0,0,1999 to 1999
dry tropics,black,black river,irrigated agriculture,2009,304.8,1.6,0.5,0.1,8.5,2009 to 1999
dry tropics,black,black river,irrigated agriculture,2016,304.9,1.6,0.5,-0.1,-3.5,2016 to 2009
dry tropics,black,black river,irrigated agriculture,2021,301.5,2.1,0.7,0.5,31.9,2021 to 2016
dry tropics,black,bluewater creek,irrigated agriculture,1999,296.4,1.2,0.4,0,0,1999 to 1999
dry tropics,black,bluewater creek,irrigated agriculture,2009,296.1,1.2,0.4,0,1.3,2009 to 1999
dry tropics,black,bluewater creek,irrigated agriculture,2016,296.7,1.2,0.4,0,1.5,2016 to 2009
dry tropics,black,bluewater creek,irrigated agriculture,2021,291.4,1.2,0.4,0,0,2021 to 2016
dry tropics,black,crystal creek,irrigated agriculture,1999,239.7,14.3,6,0,0,1999 to 1999
dry tropics,black,crystal creek,irrigated agriculture,2009,239.7,14.7,6.1,0.4,2.5,2009 to 1999
dry tropics,black,crystal creek,irrigated agriculture,2016,239.6,14.7,6.1,0,0.2,2016 to 2009
dry tropics,black,crystal creek,irrigated agriculture,2021,238.9,13.8,5.8,-0.9,-6.2,2021 to 2016
dry tropics,black,rollingstone creek,irrigated agriculture,1999,224,3.2,1.4,0,0,1999 to 1999
dry tropics,black,rollingstone creek,irrigated agriculture,2009,224,3.3,1.5,0.1,2.7,2009 to 1999
dry tropics,black,rollingstone creek,irrigated agriculture,2016,224.1,3.5,1.6,0.2,6.9,2016 to 2009
dry tropics,black,rollingstone creek,irrigated agriculture,2021,221.8,3.2,1.4,-0.3,-9.9,2021 to 2016
dry tropics,ross,alligator creek,irrigated agriculture,1999,368.2,2.1,0.6,0,0,1999 to 1999
dry tropics,ross,alligator creek,irrigated agriculture,2009,369.1,2.5,0.7,0.3,15.9,2009 to 1999
dry tropics,ross,alligator creek,irrigated agriculture,2016,369.4,2.3,0.6,-0.2,-6.1,2016 to 2009
dry tropics,ross,alligator creek,irrigated agriculture,2021,360.1,2.1,0.6,-0.2,-8.5,2021 to 2016
dry tropics,ross,bohle river,irrigated agriculture,1999,332,2.3,0.7,0,0,1999 to 1999
dry tropics,ross,bohle river,irrigated agriculture,2009,332.7,4.2,1.3,1.8,78.9,2009 to 1999
