Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
mackay whitsunday isaac,pioneer,pioneer,mining,2009,1571.2,1,0.1,0.2,20.4,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,mining,2016,1571.2,1.4,0.1,0.3,32.5,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,mining,2021,1574.9,1.2,0.1,-0.2,-14.5,2021 to 2016
mackay whitsunday isaac,plane,plane,mining,1999,2559.9,1.6,0.1,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,mining,2009,2559.9,2,0.1,0.5,30.2,2009 to 1999
mackay whitsunday isaac,plane,plane,mining,2016,2559.9,2.6,0.1,0.6,27.5,2016 to 2009
mackay whitsunday isaac,plane,plane,mining,2021,2623.1,2.5,0.1,-0.1,-3,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,mining,1999,2771.3,0.9,0,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,mining,2009,2771.2,1.4,0.1,0.5,49.6,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,mining,2016,2771.2,1.4,0.1,0,1.7,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,mining,2021,2770.7,1.5,0.1,0,3.3,2021 to 2016
wet tropics,barron,barron,mining,1999,2381.4,3.2,0.1,0,0,1999 to 1999
wet tropics,barron,barron,mining,2009,2368.3,3.5,0.1,0.4,12,2009 to 1999
wet tropics,barron,barron,mining,2015,2385,3.8,0.2,0.3,7.7,2015 to 2009
wet tropics,barron,barron,mining,2021,2192.8,3.7,0.2,-0.1,-1.6,2021 to 2015
wet tropics,daintree,daintree,mining,1999,2123.3,0.1,0,0,0,1999 to 1999
wet tropics,herbert,herbert,mining,1999,10001.3,2.8,0,0,0,1999 to 1999
wet tropics,herbert,herbert,mining,2009,9994.8,3.7,0,1,35.1,2009 to 1999
wet tropics,herbert,herbert,mining,2015,9950.2,4,0,0.2,5.9,2015 to 2009
wet tropics,herbert,herbert,mining,2021,9871.2,5.5,0.1,1.5,38.3,2021 to 2015
wet tropics,johnstone,johnstone,mining,1999,2459.7,0.8,0,0,0,1999 to 1999
wet tropics,johnstone,johnstone,mining,2009,2456.4,1.2,0.1,0.4,46.8,2009 to 1999
wet tropics,johnstone,johnstone,mining,2015,2455.5,1.2,0,-0,-1.7,2015 to 2009
wet tropics,johnstone,johnstone,mining,2021,2316.9,1.2,0.1,-0,-0,2021 to 2015
wet tropics,mossman,mossman,mining,1999,513.4,0.3,0.1,0,0,1999 to 1999
wet tropics,mossman,mossman,mining,2009,498,0.3,0.1,0,9.5,2009 to 1999
wet tropics,mossman,mossman,mining,2015,496,0.3,0.1,-0,-0,2015 to 2009
wet tropics,mossman,mossman,mining,2021,465.4,0.4,0.1,0.1,18.1,2021 to 2015
wet tropics,mulgrave,mulgrave,mining,1999,1332.9,1,0.1,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,mining,2009,1333.3,1.1,0.1,0.1,8,2009 to 1999
wet tropics,mulgrave,mulgrave,mining,2015,1332.9,1.1,0.1,0,2.6,2015 to 2009
wet tropics,mulgrave,mulgrave,mining,2021,1319.3,1.2,0.1,0.1,5.6,2021 to 2015
wet tropics,murray,murray,mining,1999,1516.4,0.3,0,0,0,1999 to 1999
wet tropics,murray,murray,mining,2009,1514.3,0.3,0,0,0,2009 to 1999
wet tropics,murray,murray,mining,2015,1514.9,0.4,0,0.1,48.3,2015 to 2009
wet tropics,murray,murray,mining,2021,1501.3,0.4,0,0,0,2021 to 2015
wet tropics,russell,russell,mining,1999,718.4,0.1,0,0,0,1999 to 1999
wet tropics,russell,russell,mining,2009,695.6,0.1,0,0,39.3,2009 to 1999
wet tropics,russell,russell,mining,2015,696.1,0.1,0,-0,-17.9,2015 to 2009
wet tropics,russell,russell,mining,2021,670.3,0.1,0,-0,-4.6,2021 to 2015
wet tropics,tully,tully,mining,1999,1718,0.4,0,0,0,1999 to 1999
wet tropics,tully,tully,mining,2009,1711.8,0.5,0,0.2,40.2,2009 to 1999
wet tropics,tully,tully,mining,2015,1712.8,0.6,0,0,8.7,2015 to 2009
wet tropics,tully,tully,mining,2021,1684,0.6,0,0,6.3,2021 to 2015
burdekin,burdekin,belyando,urban/intensive,1999,36750.6,26.3,0.1,0,0,1999 to 1999
burdekin,burdekin,belyando,urban/intensive,2009,36972.8,26.8,0.1,0.5,1.8,2009 to 1999
burdekin,burdekin,belyando,urban/intensive,2016,36042.5,27.1,0.1,0.3,1.2,2016 to 2009
burdekin,burdekin,belyando,urban/intensive,2021,35412.7,29.5,0.1,2.4,8.7,2021 to 2016
burdekin,burdekin,broke bogie,urban/intensive,1999,11999.6,22.2,0.2,0,0,1999 to 1999
burdekin,burdekin,broke bogie,urban/intensive,2009,12195.9,23.1,0.2,0.9,3.8,2009 to 1999
burdekin,burdekin,broke bogie,urban/intensive,2016,12226.5,23.3,0.2,0.2,0.9,2016 to 2009
burdekin,burdekin,broke bogie,urban/intensive,2021,11722.3,34.4,0.3,11.1,47.7,2021 to 2016
burdekin,burdekin,cape campaspe,urban/intensive,1999,20626.4,19.3,0.1,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,urban/intensive,2009,20630.3,19.3,0.1,0,0.2,2009 to 1999
burdekin,burdekin,cape campaspe,urban/intensive,2016,20584.4,19.3,0.1,0,0,2016 to 2009
burdekin,burdekin,cape campaspe,urban/intensive,2021,20448.4,20.1,0.1,0.8,4.1,2021 to 2016
burdekin,burdekin,lower burdekin,urban/intensive,1999,3794.4,11.2,0.3,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,urban/intensive,2009,3801.8,11.4,0.3,0.2,1.9,2009 to 1999
burdekin,burdekin,lower burdekin,urban/intensive,2016,3802.7,12,0.3,0.7,5.8,2016 to 2009
burdekin,burdekin,lower burdekin,urban/intensive,2021,3757.2,12.5,0.3,0.5,3.9,2021 to 2016
burdekin,burdekin,suttor,urban/intensive,1999,19585.6,13.2,0.1,0,0,1999 to 1999
burdekin,burdekin,suttor,urban/intensive,2009,19650.3,13.8,0.1,0.5,4.2,2009 to 1999
burdekin,burdekin,suttor,urban/intensive,2016,19556.7,14,0.1,0.3,1.9,2016 to 2009
burdekin,burdekin,suttor,urban/intensive,2021,18206.9,17.1,0.1,3.1,22.3,2021 to 2016
burdekin,burdekin,upper burdekin,urban/intensive,1999,40690.7,85.6,0.2,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,urban/intensive,2009,40690.7,93.6,0.2,8,9.4,2009 to 1999
burdekin,burdekin,upper burdekin,urban/intensive,2016,40950.4,96.6,0.2,3,3.3,2016 to 2009
burdekin,burdekin,upper burdekin,urban/intensive,2021,40499.4,116.7,0.3,20,20.7,2021 to 2016
burdekin,haughton,haughton,urban/intensive,1999,4156.2,57.2,1.4,0,0,1999 to 1999
burdekin,haughton,haughton,urban/intensive,2009,4156.4,61.7,1.5,4.5,7.8,2009 to 1999
burdekin,haughton,haughton,urban/intensive,2016,4153.9,64.7,1.6,3,4.9,2016 to 2009
burdekin,haughton,haughton,urban/intensive,2021,4065.4,71.2,1.8,6.5,10.1,2021 to 2016
dry tropics,black,black river,urban/intensive,1999,305.3,24.2,7.9,0,0,1999 to 1999
dry tropics,black,black river,urban/intensive,2009,304.8,27.5,9,3.3,13.7,2009 to 1999
dry tropics,black,black river,urban/intensive,2016,304.9,28.6,9.4,1.1,3.9,2016 to 2009
dry tropics,black,black river,urban/intensive,2021,301.5,29.2,9.7,0.6,2.2,2021 to 2016
dry tropics,black,bluewater creek,urban/intensive,1999,296.4,19.5,6.6,0,0,1999 to 1999
dry tropics,black,bluewater creek,urban/intensive,2009,296.1,19.9,6.7,0.4,2.3,2009 to 1999
dry tropics,black,bluewater creek,urban/intensive,2016,296.7,20.5,6.9,0.6,2.9,2016 to 2009
dry tropics,black,bluewater creek,urban/intensive,2021,291.4,20.6,7.1,0.1,0.5,2021 to 2016
dry tropics,black,crystal creek,urban/intensive,1999,239.7,5,2.1,0,0,1999 to 1999
dry tropics,black,crystal creek,urban/intensive,2009,239.7,5.1,2.1,0.2,3.8,2009 to 1999
dry tropics,black,crystal creek,urban/intensive,2016,239.6,5.3,2.2,0.1,2.7,2016 to 2009
dry tropics,black,crystal creek,urban/intensive,2021,238.9,5.3,2.2,0,0.9,2021 to 2016
dry tropics,black,palm islands,urban/intensive,1999,86.3,1.2,1.4,0,0,1999 to 1999
dry tropics,black,palm islands,urban/intensive,2009,86.3,1.2,1.4,-0,-0,2009 to 1999
dry tropics,black,palm islands,urban/intensive,2016,86.3,1.3,1.6,0.1,8.9,2016 to 2009
dry tropics,black,palm islands,urban/intensive,2021,86.3,1.3,1.6,-0,-0,2021 to 2016
dry tropics,black,rollingstone creek,urban/intensive,1999,224,5.4,2.4,0,0,1999 to 1999
dry tropics,black,rollingstone creek,urban/intensive,2009,224,5.4,2.4,0.1,1.1,2009 to 1999
dry tropics,black,rollingstone creek,urban/intensive,2016,224.1,5.5,2.4,0,0.4,2016 to 2009
dry tropics,black,rollingstone creek,urban/intensive,2021,221.8,5.6,2.5,0.2,3.3,2021 to 2016
dry tropics,ross,alligator creek,urban/intensive,1999,368.2,24.5,6.7,0,0,1999 to 1999
dry tropics,ross,alligator creek,urban/intensive,2009,369.1,25.3,6.9,0.8,3.4,2009 to 1999
dry tropics,ross,alligator creek,urban/intensive,2016,369.4,25.5,6.9,0.2,0.9,2016 to 2009
dry tropics,ross,alligator creek,urban/intensive,2021,360.1,26.5,7.4,1,3.9,2021 to 2016
dry tropics,ross,bohle river,urban/intensive,1999,332,58.9,17.7,0,0,1999 to 1999
dry tropics,ross,bohle river,urban/intensive,2009,332.7,76.5,23,17.7,30,2009 to 1999
dry tropics,ross,bohle river,urban/intensive,2016,331,84.6,25.6,8.1,10.5,2016 to 2009
dry tropics,ross,bohle river,urban/intensive,2021,328.5,86.6,26.4,2,2.4,2021 to 2016
dry tropics,ross,magnetic island,urban/intensive,1999,50.7,5.2,10.3,0,0,1999 to 1999
dry tropics,ross,magnetic island,urban/intensive,2009,50.7,5.6,11,0.3,6.6,2009 to 1999
dry tropics,ross,magnetic island,urban/intensive,2016,50.7,5.8,11.4,0.2,3.7,2016 to 2009
dry tropics,ross,magnetic island,urban/intensive,2021,50.7,5.8,11.4,-0,-0,2021 to 2016
dry tropics,ross,ross river (lower),urban/intensive,1999,134.3,70.1,52.2,0,0,1999 to 1999
dry tropics,ross,ross river (lower),urban/intensive,2009,133.9,74.2,55.4,4.2,5.9,2009 to 1999
dry tropics,ross,ross river (lower),urban/intensive,2016,133.9,76.3,57,2.1,2.8,2016 to 2009
dry tropics,ross,ross river (lower),urban/intensive,2021,133.9,76.9,57.4,0.6,0.8,2021 to 2016
dry tropics,ross,ross river (upper),urban/intensive,1999,765.2,12.5,1.6,0,0,1999 to 1999
dry tropics,ross,ross river (upper),urban/intensive,2009,767.5,13.3,1.7,0.8,6.1,2009 to 1999
dry tropics,ross,ross river (upper),urban/intensive,2016,768.1,13.9,1.8,0.6,4.2,2016 to 2009
dry tropics,ross,ross river (upper),urban/intensive,2021,760.8,13.8,1.8,-0.1,-0.5,2021 to 2016
dry tropics,ross,stuart creek,urban/intensive,1999,124.8,9.4,7.5,0,0,1999 to 1999
dry tropics,ross,stuart creek,urban/intensive,2009,124.9,11.3,9,1.9,20.3,2009 to 1999
dry tropics,ross,stuart creek,urban/intensive,2016,122.6,12.2,10,0.9,8.1,2016 to 2009
dry tropics,ross,stuart creek,urban/intensive,2021,120.8,13.8,11.4,1.6,13.3,2021 to 2016
mackay whitsunday isaac,don,don,urban/intensive,1999,3920.1,47,1.2,0,0,1999 to 1999
mackay whitsunday isaac,don,don,urban/intensive,2009,3872.2,51.2,1.3,4.2,9,2009 to 1999
mackay whitsunday isaac,don,don,urban/intensive,2016,3865.1,51.8,1.3,0.5,1,2016 to 2009
mackay whitsunday isaac,don,don,urban/intensive,2021,3750.8,52.4,1.4,0.6,1.1,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,urban/intensive,1999,2444.9,79.2,3.2,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,urban/intensive,2009,2444.9,91.2,3.7,12,15.1,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,urban/intensive,2016,2444.9,94.6,3.9,3.4,3.7,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,urban/intensive,2021,2445,94.8,3.9,0.3,0.3,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,urban/intensive,1999,1571.2,58.3,3.7,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,pioneer,urban/intensive,2009,1571.2,64.4,4.1,6.2,10.6,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,urban/intensive,2016,1571.2,66.8,4.3,2.4,3.8,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,urban/intensive,2021,1574.9,68,4.3,1.2,1.7,2021 to 2016
mackay whitsunday isaac,plane,plane,urban/intensive,1999,2559.9,120.1,4.7,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,urban/intensive,2009,2559.9,135.6,5.3,15.5,12.9,2009 to 1999
mackay whitsunday isaac,plane,plane,urban/intensive,2016,2559.9,141.4,5.5,5.8,4.3,2016 to 2009
mackay whitsunday isaac,plane,plane,urban/intensive,2021,2623.1,136.5,5.2,-4.8,-3.4,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,urban/intensive,1999,2771.3,68.9,2.5,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,urban/intensive,2009,2771.2,82.8,3,13.9,20.1,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,urban/intensive,2016,2771.2,88.2,3.2,5.4,6.5,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,urban/intensive,2021,2770.7,97.8,3.5,9.6,10.9,2021 to 2016
wet tropics,barron,barron,urban/intensive,1999,2381.4,143.6,6,0,0,1999 to 1999
wet tropics,barron,barron,urban/intensive,2009,2368.3,157.2,6.6,13.6,9.5,2009 to 1999
wet tropics,barron,barron,urban/intensive,2015,2385,162.3,6.8,5.1,3.2,2015 to 2009
wet tropics,barron,barron,urban/intensive,2021,2192.8,173.8,7.9,11.5,7.1,2021 to 2015
wet tropics,daintree,daintree,urban/intensive,1999,2123.3,21.2,1,0,0,1999 to 1999
wet tropics,daintree,daintree,urban/intensive,2009,2120.6,24,1.1,2.8,13.1,2009 to 1999
wet tropics,daintree,daintree,urban/intensive,2015,2115.7,24.9,1.2,0.9,3.9,2015 to 2009
wet tropics,daintree,daintree,urban/intensive,2021,2104.8,27.4,1.3,2.5,10.1,2021 to 2015
wet tropics,herbert,herbert,urban/intensive,1999,10001.3,72.9,0.7,0,0,1999 to 1999
wet tropics,herbert,herbert,urban/intensive,2009,9994.8,77,0.8,4.1,5.6,2009 to 1999
wet tropics,herbert,herbert,urban/intensive,2015,9950.2,78.6,0.8,1.7,2.2,2015 to 2009
wet tropics,herbert,herbert,urban/intensive,2021,9871.2,80.9,0.8,2.2,2.8,2021 to 2015
wet tropics,johnstone,johnstone,urban/intensive,1999,2459.7,76.1,3.1,0,0,1999 to 1999
wet tropics,johnstone,johnstone,urban/intensive,2009,2456.4,82.3,3.3,6.2,8.2,2009 to 1999
wet tropics,johnstone,johnstone,urban/intensive,2015,2455.5,87,3.5,4.7,5.7,2015 to 2009
wet tropics,johnstone,johnstone,urban/intensive,2021,2316.9,81.5,3.5,-5.5,-6.3,2021 to 2015
wet tropics,mossman,mossman,urban/intensive,1999,513.4,25.4,4.9,0,0,1999 to 1999
wet tropics,mossman,mossman,urban/intensive,2009,498,29.1,5.8,3.7,14.6,2009 to 1999
wet tropics,mossman,mossman,urban/intensive,2015,496,30.3,6.1,1.2,4.1,2015 to 2009
wet tropics,mossman,mossman,urban/intensive,2021,465.4,33.1,7.1,2.9,9.4,2021 to 2015
wet tropics,mulgrave,mulgrave,urban/intensive,1999,1332.9,72.7,5.5,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,urban/intensive,2009,1333.3,80.6,6,8,11,2009 to 1999
wet tropics,mulgrave,mulgrave,urban/intensive,2015,1332.9,82.7,6.2,2.1,2.6,2015 to 2009
wet tropics,mulgrave,mulgrave,urban/intensive,2021,1319.3,87.6,6.6,4.9,5.9,2021 to 2015
wet tropics,murray,murray,urban/intensive,1999,1516.4,14.9,1,0,0,1999 to 1999
wet tropics,murray,murray,urban/intensive,2009,1514.3,17.4,1.1,2.5,16.5,2009 to 1999
wet tropics,murray,murray,urban/intensive,2015,1514.9,18.2,1.2,0.9,4.9,2015 to 2009
wet tropics,murray,murray,urban/intensive,2021,1501.3,18.2,1.2,0,0.1,2021 to 2015
wet tropics,russell,russell,urban/intensive,1999,718.4,9.4,1.3,0,0,1999 to 1999
wet tropics,russell,russell,urban/intensive,2009,695.6,10.7,1.5,1.3,13.8,2009 to 1999
wet tropics,russell,russell,urban/intensive,2015,696.1,9.9,1.4,-0.8,-7.4,2015 to 2009
wet tropics,russell,russell,urban/intensive,2021,670.3,10.1,1.5,0.2,1.7,2021 to 2015
wet tropics,tully,tully,urban/intensive,1999,1718,22.7,1.3,0,0,1999 to 1999
wet tropics,tully,tully,urban/intensive,2009,1711.8,24.1,1.4,1.4,6.2,2009 to 1999
wet tropics,tully,tully,urban/intensive,2015,1712.8,25.2,1.5,1.1,4.7,2015 to 2009
wet tropics,tully,tully,urban/intensive,2021,1684,25.3,1.5,0,0.1,2021 to 2015
burdekin,burdekin,belyando,water,1999,36750.6,485.6,1.3,0,0,1999 to 1999
burdekin,burdekin,belyando,water,2009,36972.8,495.6,1.3,10,2.1,2009 to 1999
burdekin,burdekin,belyando,water,2016,36042.5,499.6,1.4,4,0.8,2016 to 2009
burdekin,burdekin,belyando,water,2021,35412.7,522.9,1.5,23.3,4.7,2021 to 2016
burdekin,burdekin,broke bogie,water,1999,11999.6,187.6,1.6,0,0,1999 to 1999
burdekin,burdekin,broke bogie,water,2009,12195.9,191.4,1.6,3.8,2,2009 to 1999
burdekin,burdekin,broke bogie,water,2016,12226.5,192.2,1.6,0.9,0.4,2016 to 2009
burdekin,burdekin,broke bogie,water,2021,11722.3,192.3,1.6,0.1,0,2021 to 2016
burdekin,burdekin,cape campaspe,water,1999,20626.4,440.1,2.1,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,water,2009,20630.3,441.4,2.1,1.4,0.3,2009 to 1999
burdekin,burdekin,cape campaspe,water,2016,20584.4,441.8,2.1,0.4,0.1,2016 to 2009
burdekin,burdekin,cape campaspe,water,2021,20448.4,437.7,2.1,-4.1,-0.9,2021 to 2016
burdekin,burdekin,lower burdekin,water,1999,3794.4,176.3,4.6,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,water,2009,3801.8,176.5,4.6,0.2,0.1,2009 to 1999
burdekin,burdekin,lower burdekin,water,2016,3802.7,176.5,4.6,-0,-0,2016 to 2009
burdekin,burdekin,lower burdekin,water,2021,3757.2,176.2,4.7,-0.4,-0.2,2021 to 2016
burdekin,burdekin,suttor,water,1999,19585.6,452.4,2.3,0,0,1999 to 1999
burdekin,burdekin,suttor,water,2009,19650.3,462,2.4,9.5,2.1,2009 to 1999
burdekin,burdekin,suttor,water,2016,19556.7,463.3,2.4,1.3,0.3,2016 to 2009
burdekin,burdekin,suttor,water,2021,18206.9,464.9,2.6,1.6,0.3,2021 to 2016
burdekin,burdekin,upper burdekin,water,1999,40690.7,844.6,2.1,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,water,2009,40690.7,827.5,2,-17,-2,2009 to 1999
burdekin,burdekin,upper burdekin,water,2016,40950.4,821.8,2,-5.7,-0.7,2016 to 2009
burdekin,burdekin,upper burdekin,water,2021,40499.4,807.6,2,-14.2,-1.7,2021 to 2016
burdekin,haughton,haughton,water,1999,4156.2,334.3,8,0,0,1999 to 1999
burdekin,haughton,haughton,water,2009,4156.4,333,8,-1.3,-0.4,2009 to 1999
burdekin,haughton,haughton,water,2016,4153.9,326.2,7.9,-6.8,-2,2016 to 2009
burdekin,haughton,haughton,water,2021,4065.4,304.4,7.5,-21.8,-6.7,2021 to 2016
dry tropics,black,black river,water,1999,305.3,8.4,2.8,0,0,1999 to 1999
dry tropics,black,black river,water,2009,304.8,8.5,2.8,0.1,0.8,2009 to 1999
dry tropics,black,black river,water,2016,304.9,8.5,2.8,0,0.1,2016 to 2009
dry tropics,black,black river,water,2021,301.5,8.5,2.8,0,0.5,2021 to 2016
dry tropics,black,bluewater creek,water,1999,296.4,8.4,2.8,0,0,1999 to 1999
dry tropics,black,bluewater creek,water,2009,296.1,8.5,2.9,0.1,0.9,2009 to 1999
dry tropics,black,bluewater creek,water,2016,296.7,8.5,2.9,-0,-0.1,2016 to 2009
dry tropics,black,bluewater creek,water,2021,291.4,7.5,2.6,-1,-11.3,2021 to 2016
dry tropics,black,crystal creek,water,1999,239.7,6.2,2.6,0,0,1999 to 1999
dry tropics,black,crystal creek,water,2009,239.7,6.2,2.6,0,0.2,2009 to 1999
dry tropics,black,crystal creek,water,2016,239.6,6.2,2.6,0,0.5,2016 to 2009
dry tropics,black,crystal creek,water,2021,238.9,6.2,2.6,-0,-0.8,2021 to 2016
dry tropics,black,palm islands,water,1999,86.3,0.6,0.7,0,0,1999 to 1999
dry tropics,black,palm islands,water,2009,86.3,0.7,0.8,0.1,14.8,2009 to 1999
dry tropics,black,palm islands,water,2016,86.3,0.7,0.8,0,0,2016 to 2009
dry tropics,black,palm islands,water,2021,86.3,0.7,0.8,0,0,2021 to 2016
dry tropics,black,paluma lake,water,1999,5.1,2.1,40.8,0,0,1999 to 1999
dry tropics,black,paluma lake,water,2009,5.1,2.1,40.8,-0,-0,2009 to 1999
dry tropics,black,paluma lake,water,2016,5.1,2.1,40.8,0,0,2016 to 2009
dry tropics,black,paluma lake,water,2021,5.1,2.1,40.8,-0,-0,2021 to 2016
dry tropics,black,rollingstone creek,water,1999,224,6.3,2.8,0,0,1999 to 1999
dry tropics,black,rollingstone creek,water,2009,224,4.6,2.1,-1.7,-27,2009 to 1999
dry tropics,black,rollingstone creek,water,2016,224.1,4.6,2.1,-0,-0,2016 to 2009
dry tropics,black,rollingstone creek,water,2021,221.8,4.3,2,-0.3,-6.2,2021 to 2016
dry tropics,ross,alligator creek,water,1999,368.2,28.1,7.6,0,0,1999 to 1999
dry tropics,ross,alligator creek,water,2009,369.1,28.2,7.6,0.1,0.2,2009 to 1999
dry tropics,ross,alligator creek,water,2016,369.4,27.9,7.6,-0.3,-1,2016 to 2009
dry tropics,ross,alligator creek,water,2021,360.1,27.9,7.7,-0,-0,2021 to 2016
dry tropics,ross,bohle river,water,1999,332,19.7,5.9,0,0,1999 to 1999
dry tropics,ross,bohle river,water,2009,332.7,20.3,6.1,0.6,3.1,2009 to 1999
dry tropics,ross,bohle river,water,2016,331,20.4,6.2,0.1,0.3,2016 to 2009
dry tropics,ross,bohle river,water,2021,328.5,20.1,6.1,-0.3,-1.3,2021 to 2016
dry tropics,ross,magnetic island,water,1999,50.7,2.6,5.2,0,0,1999 to 1999
dry tropics,ross,magnetic island,water,2009,50.7,2.6,5.1,-0.1,-2.2,2009 to 1999
dry tropics,ross,magnetic island,water,2016,50.7,2.5,5,-0,-1.1,2016 to 2009
dry tropics,ross,magnetic island,water,2021,50.7,2.5,5,0,0,2021 to 2016
dry tropics,ross,ross river (lower),water,1999,134.3,11.5,8.5,0,0,1999 to 1999
dry tropics,ross,ross river (lower),water,2009,133.9,10.6,7.9,-0.8,-7.4,2009 to 1999
dry tropics,ross,ross river (lower),water,2016,133.9,10.5,7.8,-0.2,-1.5,2016 to 2009
dry tropics,ross,ross river (lower),water,2021,133.9,10.5,7.8,0,0.1,2021 to 2016
dry tropics,ross,ross river (upper),water,1999,765.2,59.9,7.8,0,0,1999 to 1999
dry tropics,ross,ross river (upper),water,2009,767.5,60,7.8,0.1,0.1,2009 to 1999
dry tropics,ross,ross river (upper),water,2016,768.1,60,7.8,0,0,2016 to 2009
dry tropics,ross,ross river (upper),water,2021,760.8,60,7.9,-0,-0,2021 to 2016
dry tropics,ross,stuart creek,water,1999,124.8,18.3,14.7,0,0,1999 to 1999
dry tropics,ross,stuart creek,water,2009,124.9,17.8,14.3,-0.5,-2.6,2009 to 1999
dry tropics,ross,stuart creek,water,2016,122.6,16.7,13.6,-1.1,-6.4,2016 to 2009
dry tropics,ross,stuart creek,water,2021,120.8,16.4,13.6,-0.2,-1.3,2021 to 2016
mackay whitsunday isaac,don,don,water,1999,3920.1,299.5,7.6,0,0,1999 to 1999
mackay whitsunday isaac,don,don,water,2009,3872.2,301.8,7.8,2.4,0.8,2009 to 1999
mackay whitsunday isaac,don,don,water,2016,3865.1,303.9,7.9,2.1,0.7,2016 to 2009
mackay whitsunday isaac,don,don,water,2021,3750.8,295.9,7.9,-8,-2.6,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,water,1999,2444.9,185.5,7.6,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,water,2009,2444.9,186.8,7.6,1.3,0.7,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,water,2016,2444.9,187.1,7.7,0.4,0.2,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,water,2021,2445,186.3,7.6,-0.8,-0.4,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,water,1999,1571.2,55.1,3.5,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,pioneer,water,2009,1571.2,55,3.5,-0.1,-0.2,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,water,2016,1571.2,55.1,3.5,0.1,0.2,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,water,2021,1574.9,55.2,3.5,0.1,0.1,2021 to 2016
mackay whitsunday isaac,plane,plane,water,1999,2559.9,227.2,8.9,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,water,2009,2559.9,223.4,8.7,-3.8,-1.7,2009 to 1999
mackay whitsunday isaac,plane,plane,water,2016,2559.9,222.2,8.7,-1.2,-0.5,2016 to 2009
mackay whitsunday isaac,plane,plane,water,2021,2623.1,258.4,9.9,36.2,16.3,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,water,1999,2771.3,180.2,6.5,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,water,2009,2771.2,181.5,6.5,1.2,0.7,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,water,2016,2771.2,182.4,6.6,0.9,0.5,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,water,2021,2770.7,177.2,6.4,-5.2,-2.8,2021 to 2016
wet tropics,barron,barron,water,1999,2381.4,77.2,3.2,0,0,1999 to 1999
wet tropics,barron,barron,water,2009,2368.3,77.7,3.3,0.5,0.7,2009 to 1999
wet tropics,barron,barron,water,2015,2385,78,3.3,0.3,0.4,2015 to 2009
wet tropics,barron,barron,water,2021,2192.8,79,3.6,1,1.3,2021 to 2015
wet tropics,daintree,daintree,water,1999,2123.3,59,2.8,0,0,1999 to 1999
wet tropics,daintree,daintree,water,2009,2120.6,56.1,2.6,-2.9,-4.9,2009 to 1999
wet tropics,daintree,daintree,water,2015,2115.7,53.5,2.5,-2.6,-4.7,2015 to 2009
wet tropics,daintree,daintree,water,2021,2104.8,53.5,2.5,0,0,2021 to 2015
wet tropics,herbert,herbert,water,1999,10001.3,431.5,4.3,0,0,1999 to 1999
wet tropics,herbert,herbert,water,2009,9994.8,428.2,4.3,-3.4,-0.8,2009 to 1999
wet tropics,herbert,herbert,water,2015,9950.2,414,4.2,-14.1,-3.3,2015 to 2009
